"";"classe 1";"classe 2";"classe 3";"classe 4"
"*aut_14";0,029;0,356;0,376;0,592
"*tit_101";0,191;0,191;0,036;0,447
"*aut_12";0,136;0,632;0,686;0,395
"*aut_11";0,356;0,529;0,489;0,592
"*aut_10";0,356;0,529;0,489;0,592
"*dia_19_01";0,046;0,142;0,293;0,485
"*tit_109";0,529;0,356;0,489;0,592
"*aut_111";0,356;0,029;0,376;0,592
"*aut_19";0,515;0,124;0,532;0,705
"*aut_18";0,029;0,356;0,376;0,592
"*dia_13_02";0,082;0,015;0,976;0,313
"*tit_22";0,124;0,515;0,532;0,705
"*dia_13_03";0,143;0,013;0,16;0,61
"*aut_115";0,258;0,16;0,838;0,511
"*dia_24_03";0,029;0,356;0,376;0,592
"*aut_114";0,356;0,356;0,023;0,592
"*dia_23_01";0,845;0,046;0,123;0,35
"*aut_118";0,48;0,273;0,772;0,35
"*dia_30_03";0,593;0,249;0,139;0,749
"*aut_13";0,002;0,191;0,209;0,447
"*dia_30_01";0,046;0,4;0,005;0,921
"*aut_113";0,529;0,529;0,376;0,592
"*aut_112";0,529;0,356;0,376;0,108
"*dia_14_03";0,002;0,191;0,209;0,447
"*aut_110";0,328;0,81;0,252;0,898
"*aut_117";0,356;0,356;0,376;0
"*aut_116";0,007;0,258;0,277;0,511
"*tit_70";0,191;0,372;0,326;0,447
"*tit_71";0,048;0,086;0,058;0,003
"*aut_04";0;0,128;0,074;0,471
"*aut_05";0,029;0,356;0,376;0,592
"*aut_06";0,515;0,515;0,109;0,705
"*aut_07";0,108;0,48;0,034;0,756
"*aut_01";0,046;0,374;0,642;0,37
"*aut_02";0,191;0,372;0,326;0,447
"*aut_03";0,037;0,155;0,045;0
"*aut_08";0,191;0,191;0,001;0,447
"*aut_09";0,529;0,529;0,376;0,592
"*tit_61";0,082;0,443;0,976;0,194
"*aut_53";0,356;0,529;0,489;0,592
"*tit_60";0,017;0,053;0,395;0,593
"*dia_22_01";0,124;0,515;0,532;0,705
"*dia_22_02";0;0,147;0,199;0,201
"*dia_22_03";0,037;0,166;0;0,808
"*dia_12_03";0,845;0,108;0,034;0,35
"*dia_12_02";0,356;0,029;0,376;0,592
"*dia_04_01";0,143;0,632;0,549;0,061
"*dia_05_03";0,372;0,191;0,326;0,447
"*tit_136";0,001;0,001;0,033;0,007
"*dia_05_02";0,356;0,356;0,489;0,108
"*tit_09";0,529;0,529;0,376;0,592
"*dia_04_03";0,515;0,515;0,109;0,705
"*dia_05_01";0,356;0,356;0,023;0,592
"*tit_03";0,515;0,515;0,532;0,008
"*dia_23_02";0;0,166;0,045;0,225
"*aut_124";0,356;0,529;0,489;0,592
"*aut_125";0,143;0,632;0,549;0,061
"*dia_28_02";0,529;0,356;0,376;0,108
"*aut_123";0,529;0,356;0,489;0,592
"*aut_120";0,001;0,002;0,026;0,001
"*tit_04";0,356;0,356;0,376;0
"*aut_31";0,613;0,143;0,549;0,61
"*aut_30";1;1;1;1
"*aut_33";0,002;0,191;0,209;0,447
"*aut_32";0,356;0,356;0,023;0,592
"*aut_35";0,007;0,258;0,277;0,511
"*aut_34";0,529;0,529;0,376;0,592
"*aut_37";0,891;0,891;0,277;0,273
"*aut_36";0,204;0,626;0,322;0,28
"*aut_39";0,124;0,515;0,532;0,705
"*dia_31_01";0,984;0,495;0,394;0,808
"*dia_09_01";0,768;0,626;0,322;0,28
"*tit_68";0,191;0,372;0,326;0,447
"*dia_26_01";0,314;0,118;0,122;0,183
"*dia_26_02";0,191;0,191;0,036;0,447
"*dia_26_03";0,258;0,258;0,277;0
"*dia_21_03";0,191;0,191;0,036;0,447
"*dia_21_02";0,007;0,258;0,277;0,511
"*tit_18";0,002;0,191;0,209;0,447
"*tit_105";0,48;0,845;0,772;0,756
"*dia_16_03";0,191;0,372;0,326;0,447
"*dia_16_02";0,515;0,515;0,109;0,705
"*dia_16_01";0,356;0,529;0,489;0,592
"*tit_104";0,16;0,258;0,838;0,511
"*tit_10";0,356;0,529;0,489;0,592
"*tit_11";0,356;0,529;0,489;0,592
"*tit_12";0,356;0,529;0,489;0,592
"*tit_13";0,136;0,632;0,686;0,395
"*tit_14";0,002;0,191;0,209;0,447
"*tit_15";0,143;0,013;0,16;0,61
"*tit_16";0,029;0,356;0,376;0,592
"*tit_17";0,191;0,191;0,001;0,447
"*tit_106";0,613;0,143;0,686;0,061
"*dia_09_02";0,495;0,166;0,117;0,467
"*aut_29";0,529;0,356;0,489;0,592
"*aut_26";0,356;0,356;0,023;0,592
"*aut_27";0,891;0,891;0,838;0,511
"*aut_24";0,515;0,124;0,532;0,705
"*aut_25";0,515;0,515;0,109;0,705
"*aut_22";0,029;0,356;0,376;0,592
"*aut_23";0,001;0,367;0,095;0,313
"*aut_20";0,124;0,515;0,532;0,705
"*aut_21";0,013;0,143;0,686;0,395
"*tit_103";0,002;0,191;0,209;0,447
"*tit_19";0,046;0,191;0,891;0,447
"*tit_107";0,002;0,191;0,209;0,447
"*tit_102";0,029;0,356;0,376;0,592
"*tit_25";0,001;0,367;0,095;0,313
"*tit_24";0,029;0,356;0,376;0,592
"*tit_27";0,515;0,515;0,109;0,705
"*tit_26";0,515;0,124;0,532;0,705
"*tit_21";0,515;0,124;0,532;0,705
"*tit_20";0,029;0,356;0,376;0,592
"*tit_23";0,013;0,143;0,686;0,395
"*dia_17_01";0,367;0,443;0,379;0,313
"*dia_13_01";0,891;0,16;0,277;0,511
"*tit_29";0,515;0,515;0,109;0,705
"*tit_28";0,356;0,356;0,023;0,592
"*tit_135";0,515;0,124;0,532;0,705
"*dia_29_01";0,356;0,356;0,376;0
"*aut_57";0,063;0,204;0,548;1
"*aut_56";0,367;0,443;0,413;0,194
"*tit_137";0,515;0,515;0,532;0,008
"*aut_58";0,356;0,356;0,023;0,592
"*dia_20_02";0,356;0,356;0,023;0,592
"*aut_55";0,124;0,515;0,532;0,705
"*dia_20_01";0,258;0,891;0,838;0,273
"*tit_141";0,529;0,529;0,376;0,592
"*tit_140";0,124;0,515;0,532;0,705
"*tit_143";0,356;0,029;0,376;0,592
"*dia_17_03";0,835;0,372;0,891;0,447
"*tit_145";0,529;0,356;0,489;0,592
"*tit_144";0,529;0,356;0,489;0,592
"*tit_147";0,143;0,632;0,549;0,061
"*tit_146";0,356;0,529;0,489;0,592
