"";"X.jor_01";"X.jor_02"
"avanço";0,3;0,34
"levar";0,83;0,97
"negócio";0,28;0,13
"concordar";0,17;0,04
"lhe";0,63;1,85
"dentro";0,23;0,25
"grande";1,71;1,05
"parceiro";0;0,42
"argentino";0,17;0,13
"ficar";1,14;1,05
"cercar";0,28;0,08
"envolver";0,25;0,21
"intenção";0,23;0,04
"senado";0,32;0,5
"obra";0,21;0,46
"sanitário";0,38;0,08
"projeto";0,66;1,51
"responsável";0,27;0,42
"direito";2,39;2,23
"privado";0,23;0,25
"situação";0,55;0,34
"curso";0,08;0,34
"atualmente";0,23;0,04
"superar";0,27;0,04
"história";0,85;0,59
"porque";1,35;1,85
"vítima";0,17;0,13
"início";0,42;0,25
"curto";0,25;0,13
"pleito";0,19;0,04
"demonstrar";0,15;0,25
"considerar";0,74;0,42
"operar";0,13;0,17
"pt";0,51;0,21
"criar";0,49;0,67
"benefício";0,21;0,08
"cinco";0,27;0,17
"trumpismo";0,25;0
"9";0,3;0
"atrás";0,23;0,04
"pé";0,11;0,17
"literatura";0,25;0,08
"amplo";0,28;0,13
"apenas";0,83;1,39
"propor";0,11;0,17
"teitelbaum";0,19;0,17
"leitor";0,21;0,04
"investidor";0,3;0,29
"estratégia";0,44;0,25
"jornalismo";0,3;0,08
"piorar";0,17;0,17
"direto";0,21;0,25
"arthur";0,11;0,29
"medo";0,27;0,08
"gás";0,11;0,38
"exemplo";0,89;0,5
"exatamente";0,06;0,34
"impossível";0,08;0,29
"imposto";0,47;0,17
"tentativa";0,32;0,34
"restrição";0,17;0,13
"conselho";0,19;0,55
"independente";0,15;0,25
"problema";0,89;0,63
"narrativa";0,19;0,29
"nenhum";0,34;0,5
"palavra";0,19;0,34
"expectativa";0,11;0,17
"postura";0,19;0,13
"informação";0,19;0,34
"nação";0,27;0,42
"recuperar";0,23;0,17
"público";1,97;1,43
"iniciativa";0,25;0,08
"mito";0,15;0,13
"invasão";0,21;0,04
"rede";0,49;0,63
"uso";0,49;0,38
"partidário";0,17;0,13
"violência";0,51;0,67
"especialista";0,23;0,25
"tal";0,34;0,21
"importar";0,3;0,21
"sim";0,38;0,21
"vírus";0,3;0,34
"ainda";2,03;2,23
"superior";0,21;0,13
"listar";0,23;0,13
"dever";1,46;1,89
"prático";0,4;0,17
"primeiro";1,38;0,76
"embora";0,66;0,59
"cair";0,38;0,46
"efeito";0,68;0,71
"vacinação";0,36;0,88
"europeu";0,3;0,71
"governança";0,13;0,17
"norte";0,17;0,08
"lugar";0,42;0,34
"centro";0,36;0,17
"democrata";0,55;0,13
"debate";0,49;0,42
"manipular";0,11;0,21
"local";0,28;0,17
"partir";0,34;0,21
"favor";0,13;0,17
"itália";0,23;0,55
"agravar";0,17;0,17
"trabalhar";0,21;0,08
"combater";0,21;0,13
"amigo";0,47;0
"klara";0,49;0
"comunicação";0,17;0,17
"gasto";0,49;0,5
"diante";0,34;0,71
"quarta_feira";0,25;0,04
"notícia";0,4;0,21
"manter";0,74;0,42
"resultar";0,28;0,13
"diretamente";0,21;0,13
"preso";0,13;0,13
"esquerdo";0,74;0,5
"socialista";0,27;0
"dizer";3,15;2,69
"oferecer";0,15;0,21
"investir";0,34;0,08
"universo";0,19;0,08
"em";46,75;43,35
"série";0,28;0,29
"mídia";0,76;0,21
"fundo";0,23;0,38
"tema";0,47;0,34
"branco";0,49;0,59
"presença";0,15;0,13
"assunto";0,08;0,29
"perigo";0,17;0,08
