"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"vencer";-0,603;-1,158;-0,415;0,348;2,67
"tradicional";-0,745;-3,408;-0,531;0,152;7,688
"seguidor";-3,317;-4,389;-2,916;10,852;1,909
"russo";0,58;0,108;-2,102;-1,477;2,67
"resultar";5,988;3,333;0,324;-7,21;-1,963
"repetir";-1,202;-0,037;-0,911;-2,941;15,723
"proteção";-3,131;-0,65;15,827;-0,438;-0,074
"proteger";-1,045;0,313;0,324;1,242;-1,963
"privado";0,133;3,333;-0,78;-0,264;-0,604
"popularidade";0,635;7,204;-2,916;-0,642;-0,945
"pauta";1,451;-1,581;2,078;0,583;-3,842
"parlamento";0,063;-2,019;-0,062;-2,941;11,289
"palavra";-0,745;-1,367;-0,531;2,401;0,598
"objectivo";0,238;-1,581;0,479;1,753;-1,732
"negócio";-1,045;-0,501;-2,59;0,327;5,483
"morrer";-2,575;-1,367;0,002;10,82;-1,505
"menor";0,853;16,893;-2,753;-7,664;-0,074
"ler";-3,131;-0,65;-2,753;12,616;-0,074
"jornalismo";-1,202;-4,143;0,207;12,616;-2,197
"jogar";22,312;0,087;-1,046;-1,725;-4,616
"joe";-1,361;-4,389;-2,916;-5,463;52,783
"institucional";-0,108;-1,798;7,551;0,001;-0,604
"inquérito";2,984;-0,25;0,836;-3,593;0,11
"informação";-0,745;-3,408;39,131;-0,594;-3,584
"incerteza";7,618;15,045;-1,046;-8,118;-4,616
"imagem";-0,745;-1,367;-0,531;4,534;0,011
"histórico";-2,575;-1,367;0,678;-0,036;4,436
"governar";-1,361;-2,243;0,121;0,539;1,909
"fácil";-0,893;-0,364;-0,653;9,032;-1,732
"funcionar";-0,179;-4,143;1,345;2,088;-0,074
"especialista";-2,946;-0,006;12,07;-2,559;0,221
"envolver";-1,045;1,422;-0,78;0,327;-0,024
"eleger";0,238;-1,581;8,652;-0,843;-0,451
"devido";-1,045;-0,501;1,678;-0,264;1,197
"coalizão";-3,317;-2,243;-1,046;-5,463;44,58
"candidatura";4,421;-3,408;-2,264;-0,594;4,436
"busca";3,073;-1,798;0,324;0,001;-0,604
"bannon";-0,733;-0,97;-0,644;3,645;0,055
"autoridade";-0,052;0,003;4,803;-2,186;-0,001
"ascensão";-0,262;-2,243;-1,046;7,741;-0,147
"amplo";-1,045;0,313;-0,78;-0,264;2,951
"vacinar";5,988;-0,006;0,324;-2,559;-0,604
"universidade";-0,469;-0,956;-0,308;4,244;-0,098
"suposto";-0,745;-1,367;22,123;-3,727;0,011
"saída";3,69;-3,653;-0,653;-4,157;10,193
"renda";-2,946;31,65;-2,59;-1,117;-1,963
"qualidade";-2,761;-1,581;-0,653;17,025;-1,732
"pessoal";-0,108;-1,798;1,678;-2,559;5,483
"pergunta";0,013;-2,919;-1,939;4,244;0,166
"oxigênio";-0,733;2,379;-0,644;0,683;-1,02
"narrativa";-2,761;-3,653;-0,003;12,714;-0,451
"mulher";-0,893;-3,653;-0,653;5,977;0,38
"indicar";-0,108;-0,006;-2,59;2,746;-0,024
"homem";-0,893;-3,653;-2,427;9,032;0,38
"funcionário";1,122;-0,501;-2,59;-2,559;8,794
"exército";-0,007;0,37;1,275;-0,909;-0,156
"exigir";-0,603;9,839;-0,415;-3,302;0,063
"estrutura";-2,946;-0,006;1,678;2,746;-1,963
"escolha";3,69;-3,653;-0,003;-0,843;1,589
"direção";-0,108;-0,006;-0,78;-0,264;2,951
"diretor";3,073;-1,798;-2,59;2,746;-0,604
"direto";-0,052;4,051;-0,003;-0,843;-0,451
"diesel";0,133;39,177;-2,59;-7,21;-4,1
"destacar";0;-1,158;24,915;-5,851;-0,194
"cercar";-1,652;7,494;-1,452;0,025;-0,47
"avaliar";0,384;0,034;-2,264;0,94;-0,314
"atenção";0,238;1,846;-0,003;-4,157;0,38
"armado";-2,206;-2,919;61,211;-5,398;-1,066
"argumento";-2,761;0,497;2,078;0,583;-1,732
"aprender";0,007;-1,456;-0,967;-0,572;8,001
"aliado";-0,108;1,422;-2,59;-7,21;12,882
"agência";16,568;-0,364;-0,653;-2,186;-0,451
"adversário";-0,745;-3,408;0,002;0,94;2,072
"veículo";-0,052;-3,653;26,946;-0,843;-1,732
"tributário";0,133;31,65;-0,78;-7,21;-4,1
"texto";-0,229;2,695;-1,615;0,388;-0,657
"terminar";0,384;0,742;-0,531;-1,824;0,598
"teoria";-2,761;-0,364;-0,653;5,977;-0,001
"tecnologia";-1,284;-0,121;0,001;2,26;-0,156
"surgir";-2,575;-1,367;22,123;-0,594;-0,314
"silva";60,435;-2,674;-1,777;-4,946;-2,813
"ruim";16,568;0,497;-2,427;-2,186;-1,732
"rio";-0,054;0,156;8,792;-3,593;-0,301
"resolver";11,249;-0,364;-0,653;-0,843;-0,451
"recuperação";-2,761;21,423;-2,427;-4,157;0,38
"recuperar";1,122;0,313;-0,78;-1,117;0,221
"preferir";-0,015;-0,243;0,002;0,152;0,011
"perspectiva";-2,39;0,108;0,026;1,42;-0,194
"parlamentar";-0,343;-2,674;0,174;-0,069;4,328
"pagar";3,073;9,563;-2,59;-7,21;-0,024
"olhar";-2,206;-2,919;0,08;10,973;-1,066
"medo";0,133;-3,898;-0,025;-0,264;5,483
"manifestação";1,853;-1,367;0,678;-0,594;0,011
"maia";0,158;0,708;-1,615;0,388;-0,657
"legal";1,451;4,051;-0,653;-0,843;-1,732
"lançar";-0,015;0,034;-2,264;-0,594;4,436
"jogo";-0,052;-3,653;-2,427;9,032;-0,001
"imaginar";-0,015;-3,408;-2,264;14,972;-1,505
"ideologia";-2,946;-1,798;7,551;2,746;-1,963
"frança";-2,575;-1,367;-2,264;-0,036;16,858
"enorme";-0,745;2,365;-2,264;-0,594;2,072
"eletrobras";18,723;4,905;-2,264;-6,303;-3,584
"definir";-0,603;-3,163;-0,415;1,42;2,67
"decidir";-2,39;1,061;-0,415;1,42;-0,194
"curto";-0,893;21,423;-0,653;-2,186;-1,732
"cultura";-2,761;-3,653;0,479;5,977;-0,001
"citar";2,948;1,475;1,257;-5,398;-1,066
"chinês";-0,733;-0,97;-0,644;-0,066;7,416
"chefe";-1,045;-3,898;-0,78;-1,117;23,394
"buscar";0,84;-0,061;1,257;-1,147;-0,098
"bolsa";20,508;1,422;-0,78;-4,59;-4,1
"antigo";-0,745;-3,408;-2,264;4,534;2,072
"ameaçar";12,856;-1,367;0,002;-6,303;0,598
"amazônia";-2,761;-3,653;-2,427;-2,186;41,129
"agir";0;0,108;-0,415;3,217;-3,327
"administração";20,508;-3,898;0,324;-1,117;-1,963
"aceitar";-0,052;-0,364;4,803;-2,186;0,38
"via";3,69;-1,581;4,803;-4,157;-0,001
"velho";-0,469;-0,956;1,257;2,056;-1,066
"torno";-2,761;-0,364;0,479;0,041;1,589
"the";-0,343;-0,761;-1,777;2,888;0,333
"teto";-2,021;45,671;-1,777;-4,946;-2,813
"superar";0,84;-0,956;-1,939;2,056;-0,098
"relevante";0,158;-0,576;-0,125;3,976;-2,556
"reforçar";-2,206;-0,956;20,002;-5,398;1,269
"reeleição";9,423;-1,158;0,026;0;-3,327
"provocar";-2,575;4,905;0,678;-6,303;2,072
"promover";0;9,839;-0,415;-1,477;-1,282
"profundo";-2,575;-0,243;-2,264;19,798;-3,584
"produção";-0,916;5,243;-0,806;-0,28;0
"preparar";1,18;2,007;0,174;-4,946;-0,03
"pobre";-0,745;2,365;5,643;-0,594;-3,584
"orçamento";-0,745;48,333;-2,264;-6,303;-3,584
"organizar";-0,893;-1,581;-0,003;5,977;-0,451
"norma";1,18;-0,012;15,339;-4,946;-2,813
"negativo";8,089;2,365;-0,531;-1,824;-3,584
"navalni";0,924;-0,121;0,001;-3,142;2,211
"mão";1,451;-3,653;0,479;1,753;-1,732
"máquina";-0,007;0,37;0,001;-0,018;-0,156
"marcar";-2,575;-0,243;0,678;2,401;-0,314
"lógica";3,69;0,003;-0,653;0,583;-3,842
"literatura";-2,575;-3,408;-0,531;25,295;-3,584
"listar";-2,206;0,234;-1,939;-5,398;22,325
"isolamento";-2,575;0,034;0,678;2,401;-1,505
"investigação";-0,916;-1,212;0,159;-0,28;4,886
"insumo";0,279;7,872;-0,644;-1,793;-1,02
"iniciativa";1,451;15,797;-0,003;-6,757;-3,842
"importância";-2,575;-1,367;9,931;-0,594;0,598
"impeachment";-0,015;-1,367;0,002;-3,727;11,829
"gás";0,238;15,797;-0,653;-4,157;-1,732
"gostar";-0,893;0,003;-0,653;1,753;-0,001
"frio";-2,39;-0,14;-2,102;0,348;5,408
"fortalecer";-0,015;-0,243;-0,531;0,94;0,011
"erro";1,853;-1,367;-0,531;-0,036;0,598
"dose";2,984;9,469;-1,291;-3,593;-2,043
"disputa";-0,015;-1,367;-2,264;-1,824;16,858
"crítico";-0,015;-3,408;0,678;4,534;-1,505
"conversa";0,84;-0,956;-1,939;0,652;0,166
"contexto";-0,745;0,742;0,678;0,94;-3,584
"conspiração";-2,206;-2,919;-0,308;10,973;-0,098
"conflito";-2,761;-3,653;0,479;3,551;0,38
"comum";-0,469;-2,919;7,822;2,056;-3,07
"compromisso";-0,745;4,905;9,931;-6,303;-1,505
"começo";-0,893;0,003;-0,003;0,583;-0,001
"cena";-2,575;-0,243;0,678;2,401;-0,314
"capitólio";-2,761;-1,581;-0,653;-6,757;41,129
"caminhoneiro";18,723;2,365;-2,264;-6,303;-1,505
"básico";-2,575;18,02;0,002;-1,824;-1,505
"beneficiar";1,853;-3,408;-0,531;0,94;0,011
"bater";0,559;0,156;-1,291;-0,132;0,11
"avançar";-0,603;-0,14;0,933;0,348;-0,194
"autoritarismo";-2,575;-3,408;60,958;-3,727;-1,505
"anunciar";12,856;-1,367;-2,264;-0,036;-0,314
"alternativo";-0,052;-1,581;-0,653;12,714;-3,842
"alimentar";14,738;-0,14;-2,102;-1,477;-0,194
"acompanhar";0,84;-2,919;-1,939;0,033;3,409
"abertura";5,807;-0,404;0,531;-1,66;-0,47
"ódio";-2,575;-3,408;5,643;0,152;0,598
"época";-0,469;-2,919;3,837;0,652;-0,098
"uscifrão";0,063;2,007;-1,777;-4,946;4,328
"trajetória";-0,469;-0,956;-1,939;15,513;-3,07
"tradição";-2,021;-2,674;4,695;0,153;0,333
"time";-0,131;-2,186;-1,452;2,567;0,951
"teitelbaum";-2,021;-2,674;-1,777;24,692;-2,813
"superior";-0,343;13,734;0,174;-4,946;-0,857
"solução";0;-3,163;0,026;-1,477;9,103
"socialista";-2,39;-3,163;17,525;-5,851;5,408
"rússia";-0,469;-0,061;-1,939;-2,881;16,042
"rodada";-0,015;31,345;-2,264;-3,727;-3,584
"refletir";11,01;-2,919;0,08;-0,198;-1,066
"reconhecer";-0,745;-1,367;2,558;0,152;0,011
"quarta_feira";-0,603;-1,158;-2,102;-0,376;13,754
"policial";-1,836;5,962;5,755;-4,495;-0,657
"piso";-1,836;41,502;-1,615;-4,495;-2,556
"onda";-0,603;-1,158;6,636;0;-0,194
"março";-0,131;1,105;-0,057;-0,32;0,021
"latino";-2,575;-3,408;-2,264;14,972;0,011
"judiciário";-2,575;-0,243;9,931;-1,824;0,598
"influência";-2,021;-2,674;1,669;5,538;-0,857
"independente";0,158;-0,576;0,318;-0,004;-0,001
"implementar";-2,575;12,733;0,002;-0,594;-1,505
"idoso";0,063;-2,674;-1,777;9,044;-0,857
"idade";-0,007;-1,699;-1,129;5,394;-0,156
"governante";-2,206;0,234;20,002;-2,881;-1,066
"falso";-2,575;-3,408;2,558;0,94;0,598
"expressar";0,384;-3,408;-0,531;7,341;-1,505
"exercer";-2,39;-3,163;24,915;-0,376;-0,194
"espécie";-0,343;-2,674;9,251;1,093;-2,813
"duro";0,384;0,742;2,558;-6,303;0,011
"discutir";-0,469;1,475;-0,308;0,652;-1,066
"dificuldade";0,384;8,361;-2,264;-0,036;-3,584
"desinformação";-2,575;-3,408;22,123;-0,594;0,011
"demorar";-0,229;5,962;-0,125;-4,495;0,586
"demonstrar";-0,745;-1,367;15,425;-3,727;0,598
"declínio";-0,603;-1,158;17,525;0;-3,327
"costumar";-0,745;0,034;0,678;0,94;-1,505
"construir";-0,343;-2,674;-0,21;1,093;1,766
"comprar";-0,131;12,821;-0,057;-1,66;-2,299
"combater";-2,575;0,034;5,643;-0,036;-0,314
"clássico";-0,603;-1,158;0,026;5,738;-1,282
"calamidade";-0,603;35,35;-2,102;-3,302;-3,327
"avaliação";0,84;-0,061;0,08;0,033;-1,066
"atuar";0,013;0,234;0,08;0,033;-1,066
"atacar";-0,745;-3,408;5,643;0,152;0,011
"aspecto";-2,206;-0,061;1,257;4,244;-3,07
"ampliar";0,013;17,117;-0,308;-5,398;-1,066
"alcançar";0,384;0,034;0,002;0,152;-1,505
"administrativo";5,292;14,738;-2,102;-5,851;-3,327
"abandonar";0,158;-0,576;-0,125;-0,004;0,586
"óbvio";-2,39;1,061;-2,102;1,42;0,063
"trumpismo";-2,021;-2,674;0,174;-0,069;8,02
"trabalhar";5,292;-3,163;-2,102;1,42;-0,194
"tesouro";0,013;17,117;-1,939;-1,147;-3,07
"suficiente";-2,206;-0,061;-1,939;-1,147;16,042
"segunda_feira";5,491;0,736;-0,967;-2,692;-0,049
"salvar";0,013;-0,061;0,08;0,652;-1,066
"rodrigo";-0,916;1,344;-0,806;-0,28;1,204
"resistência";3,695;-0,761;-0,21;0,153;-0,857
"reportagem";19,626;-2,674;-0,21;-0,069;-2,813
"religioso";-2,206;-2,919;-1,939;20,839;-1,066
"reação";9,423;-0,14;-0,415;-3,302;0,063
"pôr";0;-3,163;-0,415;3,217;0,063
"prova";-1,468;1,661;-0,012;0,163;-0,301
"presente";-2,39;-0,14;3,136;-0,376;0,888
"postura";0;-0,14;0,933;1,42;-3,327
"positivo";-0,469;3,784;-1,939;0,652;-1,066
"poderoso";-2,206;-2,919;-0,308;7,216;0,166
"pobreza";-0,603;-0,14;-2,102;8,983;-1,282
"planalto";2,344;9,839;-0,415;-3,302;-3,327
"piorar";0,84;11,605;-1,939;-2,881;-1,066
"pib";-2,39;44,192;-2,102;-5,851;-1,282
"personagem";-0,733;-0,97;-0,644;8,952;-1,02
"permanecer";0,013;-0,061;-1,939;0,652;0,166
"otavio";0,158;-2,43;0,318;-0,561;2,413
"opinião";0;-3,163;0,933;1,42;-0,194
"oferecer";-1,836;0,002;-1,615;1,712;0,586
"negar";-0,131;-0,404;2,874;0,025;-0,47
"mínimo";-1,836;10,509;0,318;-0,561;-2,556
"massa";0;-0,14;3,136;0,348;-3,327
"lsn";-1,468;-1,942;49,931;-3,593;-2,043
"leitura";-2,021;-0,761;-1,777;18,621;-2,813
"intenção";3,695;-0,012;-1,777;-2,465;1,766
"influenciar";-2,021;-0,761;4,695;1,093;-0,857
"indivíduo";-2,206;-0,956;0,08;10,973;-3,07
"independência";-2,39;-3,163;17,525;-5,851;5,408
"garantia";-2,206;-0,956;20,002;-2,881;0,166
"fenômeno";0;-3,163;-2,102;12,952;-1,282
"externo";-0,343;-0,012;-1,777;-0,839;8,02
"exterior";-0,007;0,37;-1,129;-3,142;5,897
"essencial";-0,603;5,927;-2,102;1,42;-3,327
"esperança";0,013;-2,919;-1,939;2,056;1,269
"elétrico";21,237;3,001;-2,102;-5,851;-3,327
"dívida";-0,603;27,493;-2,102;-3,302;-1,282
"diplomacia";-1,836;-2,43;-1,615;-2,058;30,178
"determinado";-2,021;-0,761;0,174;5,538;-0,857
"destruição";-2,206;-0,956;1,257;2,056;-0,098
"cumprir";0,063;2,007;-0,21;-4,946;1,766
"conjunto";-2,206;-2,919;-1,939;10,973;0,166
"comunicação";-0,343;-0,761;32,108;-2,465;-2,813
"coletivo";-2,39;-3,163;0,026;8,983;-0,194
"classe";-2,206;-2,919;0,08;7,216;-0,098
"causar";-2,206;3,784;0,08;0,033;-1,066
"benefício";-2,206;17,117;-0,308;-2,881;-0,098
"bbc";31,875;-1,942;-1,291;-1,275;-2,043
"arthur";-1,284;-1,699;0,001;2,26;0,298
"agravar";-0,603;1,061;-0,415;3,217;-3,327
"vítima";-0,469;-0,956;-1,939;2,056;1,269
"votação";-1,468;4,765;0,836;-1,275;-0,301
"vontade";-0,343;-0,761;-0,21;5,538;-0,857
"vivo";-1,836;-2,43;-1,615;-0,004;15,346
"universo";-1,468;1,661;0,836;0,163;-2,043
"tradicionalista";-1,652;-2,186;-1,452;14,214;-0,47
"terra";0,158;0,002;-0,125;-2,058;2,413
"tendência";-2,206;-2,919;1,257;7,216;-1,066
"sucesso";-0,229;-0,576;-0,125;-2,058;9,793
"simples";-1,836;-0,576;-0,125;11,326;-2,556
"servir";0,063;-0,012;1,669;0,153;-2,813
"sentir";0,158;-0,576;-1,615;1,712;-0,001
"retirar";-1,652;12,821;-1,452;-1,66;0,021
"restrição";-2,021;-0,012;22,958;-2,465;-0,857
"representante";2,948;-2,919;-0,308;0,652;-0,098
"recorde";3,695;2,007;-1,777;-4,946;0,333
"realizar";0,063;0,427;-1,777;-0,839;1,766
"questionar";-2,206;-2,919;0,08;0,652;3,409
"quarto";2,208;0,043;-1,452;-1,66;0,951
"quadro";0,84;0,234;-1,939;0,033;-0,098
"provável";0,063;-2,674;-0,21;-0,069;4,328
"prometer";-2,206;7,16;-1,939;-1,147;1,269
"prioridade";2,984;-0,25;-1,291;-3,593;4,382
"preocupar";-2,021;4,752;-0,21;0,153;-0,857
"partidário";-0,229;-2,43;-1,615;1,712;2,413
"participação";19,626;-0,761;0,174;-2,465;-2,813
"ouvir";3,695;0,427;-0,21;-0,069;-2,813
"oportunidade";1,625;-2,43;-0,125;1,712;-0,657
"ocupar";-0,229;0,708;-0,125;-4,495;5,482
"moeda";-0,343;35,94;-1,777;-4,946;-2,813
"metade";-2,206;1,475;-1,939;4,244;-1,066
"luta";-1,836;-0,576;-0,125;-0,004;5,482
"lidar";-2,021;2,007;-0,21;-0,069;0,333
"leitor";-0,229;-2,43;-1,615;16,412;-2,556
"legislativo";-0,469;17,117;-0,308;-2,881;-1,066
"justificar";1,18;-0,761;0,174;0,153;-0,857
"junto";-0,343;0,427;-0,21;-2,465;4,328
"judicial";-1,284;-1,699;0,001;9,869;-1,787
"ishiguro";-0,733;-0,97;-0,644;8,952;-1,02
"irmão";-0,343;-2,674;-0,21;-2,465;18,792
"invasão";-1,836;-0,576;-0,125;-2,058;15,346
"interno";-2,206;7,16;-1,939;-5,398;6,584
"incentivo";-0,007;-0,121;1,275;-0,018;-0,156
"importação";5,491;3,571;-0,967;-2,692;-1,531
"identificar";-2,021;-2,674;-0,21;2,888;1,766
"gabinete";-2,021;-2,674;-0,21;-4,946;34,082
"função";0,316;3,588;-0,057;-1,66;-0,47
"fogo";4,032;0,37;-1,129;-0,018;-1,787
"ferreira";49,405;-2,186;-1,452;-4,044;-2,299
"estudo";0,158;-0,576;2,195;-0,004;-0,657
"errado";0,158;-0,576;-1,615;0,388;0,586
"emoção";-1,652;-2,186;-1,452;14,214;-0,47
"elevação";-1,836;41,502;-1,615;-4,495;-2,556
"elemento";-2,206;-2,919;-1,939;7,216;1,269
"eduardo";0,007;8,537;0,04;-2,692;-1,531
"discussão";-0,054;0,156;-0,012;1,368;-2,043
"derrotar";-2,021;-0,761;-1,777;2,888;1,766
"definição";-2,021;-2,674;0,174;9,044;-0,857
"câmbio";-0,469;40,061;-1,939;-5,398;-3,07
"curso";-1,468;1,661;-1,291;3,748;-2,043
"consumidor";2,948;11,605;-1,939;-2,881;-3,07
"condenação";2,309;-1,212;2,872;-2,243;0
"climático";-2,021;-0,761;-1,777;0,153;8,02
"ceder";1,18;-0,761;4,695;-0,839;-0,857
"caber";4,628;-0,576;-0,125;-0,561;-0,001
"baleia";16,426;-0,727;-0,483;-1,344;-0,765
"argentino";-0,054;-0,25;-1,291;-1,275;8,844
"aparecer";-1,1;0,736;0,04;0,016;-0,049
"alemanha";-0,229;-0,576;-1,615;-4,495;22,141
"afetar";-2,021;2,007;-0,21;2,888;-2,813
"admitir";0,316;0,043;-1,452;0,025;0,021
"acionista";48,136;-0,761;-1,777;-4,946;-2,813
"vincular";-1,284;2,445;0,001;0,468;-1,787
"velocidade";-0,131;0,043;-1,452;0,774;0,021
"trabalhador";-0,343;-0,012;-1,777;-0,069;4,328
"significativo";-0,229;2,695;-0,125;-2,058;0,586
"sentar";-2,021;-0,761;-1,777;13,405;-0,857
"rua";-2,021;-0,761;-1,777;0,153;8,02
"revista";-1,836;-2,43;0,318;7,181;-0,657
"respeito";-2,021;-0,761;1,669;0,153;0,333
"representação";-1,836;-2,43;-0,125;7,181;-0,001
"registrar";-1,1;24,859;-0,967;-2,692;-1,531
"reagir";0,063;-0,761;0,174;1,093;-0,857
"probabilidade";16,828;-0,121;-1,129;-0,909;-1,787
"primeiro_ministro";-2,021;-2,674;-1,777;-4,946;43,422
"pretender";1,18;-0,761;-0,21;0,153;-0,03
"presença";9,167;-0,576;-1,615;-2,058;0,586
"potencial";7,608;8,661;-1,777;-4,946;-2,813
"pleito";-1,836;-2,43;0,318;-2,058;15,346
"plataforma";-1,836;0,002;0,318;-0,004;0,586
"petista";26,845;-2,186;0,531;-4,044;-2,299
"perigo";-0,229;0,002;-0,125;1,712;-0,657
"pazuello";0,079;5,243;-0,806;-2,243;0
"palácio";2,208;0,043;0,531;-0,32;-2,299
"operar";-0,343;2,007;-1,777;1,093;-0,857
"obrigar";-1,468;9,469;-0,012;-0,132;-2,043
"norte";-2,021;-0,761;-0,21;5,538;-0,03
"mobius";31,875;-0,25;-1,291;-3,593;-2,043
"mito";-0,343;-2,674;-1,777;5,538;0,333
"mensagem";2,208;-2,186;-0,057;-0,32;0,951
"marco";-0,054;9,469;-1,291;-1,275;-0,301
"manipular";-1,652;3,588;0,531;-0,32;-0,47
"lutar";-1,836;-0,576;-1,615;11,326;-0,657
"linha";0,316;-0,404;2,874;-4,044;0,951
"ligar";-2,021;-2,674;-1,777;-0,839;25,872
"jovem";-0,343;-2,674;-0,21;9,044;-0,857
"internet";-1,468;-1,942;3,763;3,748;-2,043
"impossível";-1,652;-0,404;-1,452;2,567;0,951
"grave";1,625;-0,576;2,195;-0,561;-0,657
"governança";19,626;-2,674;0,174;-0,839;-2,813
"gestor";1,625;0,002;-0,125;-2,058;0,586
"fronteira";-1,652;-2,186;2,874;-0,32;3,26
"fraude";-0,054;-1,942;-1,291;-0,132;8,844
"frase";-0,343;-0,761;-1,777;2,888;0,333
"formar";-1,836;0,708;-1,615;-2,058;9,793
"floresta";0,158;-0,576;2,195;-0,561;-0,001
"favor";-1,652;3,588;-0,057;0,774;-2,299
"fator";3,695;-0,761;4,695;-0,839;-2,813
"episódio";11,113;0,043;-0,057;-1,66;-2,299
"dono";15,244;-2,43;0,318;-2,058;-0,657
"digital";-1,836;-2,43;36,829;-2,058;-0,657
"determinar";1,47;0,736;-0,967;-0,572;-0,049
"descobrir";-1,468;-1,942;-0,012;7,303;-0,301
"demanda";-2,021;27,374;-1,777;-0,839;-2,813
"custar";1,18;0,427;-0,21;-0,839;-0,03
"criminoso";-2,021;4,752;9,251;-4,946;-0,857
"crescente";-2,021;-0,012;0,174;1,093;-0,03
"corporação";5,807;-2,186;-0,057;-0,32;0,021
"contribuir";-1,836;0,002;2,195;0,388;-0,657
"conter";7,608;-0,012;0,174;-2,465;-0,857
"constante";-0,343;-0,761;22,958;-0,839;-2,813
"concorrer";-0,916;-1,212;-0,806;-2,243;19,687
"concessão";9,167;-0,576;-1,615;-0,561;-0,001
"companhia";37,235;-0,012;-1,777;-4,946;-2,813
"categoria";-1,1;-0,03;14,063;-0,572;-1,531
"audiência";-0,007;-1,699;4,951;-0,018;-0,156
"atuação";-0,229;-0,576;17,926;-2,058;-0,657
"atividade";-2,021;8,661;0,174;-0,069;-2,813
"assunto";0,559;0,156;-1,291;-1,275;1,47
"associar";0,158;-0,576;-0,125;3,976;-2,556
"armamento";-1,468;4,765;3,763;-1,275;-2,043
"argumentar";-0,229;0,002;-0,125;3,976;-2,556
"aplicar";0,559;4,765;0,836;-3,593;-2,043
"análise";0,063;-2,674;4,695;1,093;-2,813
"alerta";-1,836;-0,576;2,195;-0,561;2,413
"ajuste";7,608;4,752;-1,777;-2,465;-2,813
"índice";-1,836;0,002;0,318;3,976;-2,556
"virar";0,559;-1,942;-1,291;-3,593;14,858
"ultrapassar";-1,652;0,043;0,531;2,567;-2,299
"twitter";-0,229;-2,43;10,999;-2,058;0,586
"trocar";15,244;0,002;-1,615;-0,561;-2,556
"transição";-1,652;1,105;0,531;0,025;-0,47
"tragédia";-1,1;8,537;-0,967;-0,572;-0,049
"tese";-1,652;3,588;-1,452;0,774;-0,47
"tarefa";-1,1;-1,456;1,914;3,599;-1,531
"sul";-1,652;-2,186;-0,057;5,405;0,021
"sobreviver";-0,007;-0,121;0,001;2,26;-1,787
"senhor";-1,836;-0,576;0,318;-2,058;9,793
"seguinte";0,316;-2,186;-0,057;0,025;0,951
"roberto";5,807;-0,404;0,531;-1,66;-0,47
"reunião";-1,284;-1,699;-1,129;-0,018;11,354
"retomada";1,625;2,695;-1,615;-2,058;-0,001
"resto";0,158;2,695;-0,125;-2,058;-0,001
"ressaltar";-1,652;0,043;2,874;-4,044;3,26
"relatório";-1,468;-0,25;25,156;-3,593;-0,301
"rejeitar";-0,131;-2,186;-1,452;2,567;0,951
"pé";-0,131;-0,404;2,874;0,774;-2,299
"putin";-0,007;-1,699;-1,129;-0,909;11,354
"propor";-0,131;0,043;-1,452;0,025;0,951
"privatização";42,694;-0,576;-1,615;-4,495;-2,556
"prisão";-0,916;1,344;0,159;-0,28;0
"princípio";-1,652;0,043;13,17;-1,66;-0,47
"preso";0,007;0,736;0,04;-0,572;-0,049
"preservar";-1,652;-0,404;7,087;0,774;-2,299
"prejuízo";18,126;0,043;-1,452;-1,66;-2,299
"peso";0,079;1,344;-0,806;0,193;-1,275
"pensamento";-1,468;-1,942;-0,012;12,031;-2,043
"penal";-1,284;-0,121;19,508;-3,142;-0,156
"passo";0,316;-0,404;-1,452;2,567;-0,47
"participar";-1,468;-0,25;-0,012;-1,275;8,844
"parecido";-1,468;-1,942;-0,012;-1,275;14,858
"parceiro";-1,284;-1,699;0,001;-3,142;18,584
"origem";0,158;-0,576;0,318;0,388;-0,657
"neoliberalismo";-1,836;-0,576;2,195;3,976;-2,556
"natureza";-1,836;-0,576;5,755;0,388;-0,657
"médico";0,316;3,588;2,874;-4,044;-2,299
"município";5,807;3,588;-0,057;-4,044;-2,299
"motivo";-0,131;-2,186;-1,452;0,025;6,948
"morto";-1,652;0,043;-1,452;0,025;3,26
"mianmar";-1,652;-2,186;-0,057;-0,32;12,016
"mecanismo";-0,229;16,337;-0,125;-4,495;-0,657
"mau";0,158;-0,576;-0,125;-0,004;0,586
"logístico";-1,836;5,962;-1,615;-0,004;-0,001
"intervir";42,694;-0,576;-1,615;-4,495;-2,556
"interpretar";0,158;-2,43;5,755;0,388;-2,556
"integrante";15,244;0,002;-1,615;-0,561;-2,556
"imunizantes";-0,549;0,367;-0,483;-1,344;3,995
"ilegal";-0,007;6,347;-1,129;-0,018;-1,787
"ignorar";-1,468;4,765;-0,012;-1,275;0,11
"guinar";15,244;0,708;-1,615;-2,058;-2,556
"globo";9,334;-0,121;-1,129;-0,018;-1,787
"francês";1,625;-2,43;0,318;0,388;-0,657
"formação";-0,916;-1,212;0,159;-0,28;4,886
"financiamento";-1,836;5,962;-0,125;-0,561;-0,001
"fechar";0,924;2,445;0,001;-3,142;-0,156
"experiência";-1,652;-0,404;-1,452;9,287;-0,47
"expectativa";0,158;10,509;-1,615;-4,495;-0,001
"expansão";-1,836;5,962;0,318;-2,058;-0,001
"estrangeiro";21,773;0,156;-1,291;-3,593;-2,043
"estilo";-1,284;-1,699;-1,129;15,686;-1,787
"escolher";0,158;-2,43;-0,125;-0,004;2,413
